,rank-title,rank-sub,price,discount,selling_proposition,goods-title-link
116,Unranked(New),General Application,6.4,0,100.0,"1pc, Multifunctional Luncheon Meat Cutter, Stainless Steel Egg Cutter, Cutting 10 Pieces For Fruit Onion Soft Food Roast Legs, Egg Slicer Luncheon Meat Slicer - Egg Cutter Multipurpose Dinner Breakfast Stainless Steel Wire Slicer,Uniform Slice For Fruit,Onions,Banana,Pitaya,Soft Food And ,Simple Use And Easy Cleaning, Spam Slicer, Kitchen Tools"
117,Unranked(New),General Application,2.89,58,300.0,"1Set Baby Multifunctional Safe Nail File Electric For Infant Toddler Kids, 6 Grinding Heads, 5 Speeds, Toes Fingernails Care Safe"
118,#2 Best Sellers,in Massage & Relaxation Tools,1.6,6,0,1 Pcs Bear Claw Telescoping Back Scratcher - Back With Rubber Handled Metal Telescopic Backscratcher - Perfect Gift For Men And Women
119,Unranked(New),General Application,1.6,0,0,Silicone Hair Catcher Drain Cover For Shower & Sink - Square Anti-Clog Strainer With Suction Cup - Tub & Floor Drain Plugs For Bathroom & Kitchen - Deodorizer Tool (1pc)
120,Unranked(New),General Application,2.6,0,40.0,"Silicone Mini Ice Cube Trays, 160 Grids Small Ice Cube Molds Easy Release Crushed Ice Cube For Chilling Whiskey Cocktail,  Flexible Stackable And Durable Soft Mold Storage Containers"
121,#4 Best Sellers,in Electric Grills & Electric Griddles,40.31,28,0,"Indoor Grills Electric Smokeless, Indoor Grills For Kitchen With Non-Stick Cooking Removable Plate, Portable Korean BBQ Grill With Removable Temperature Control, Dishwasher Safe, 1500W"
122,Unranked(New),General Application,12.1,4,50.0,"Teeth Whitening Kit For Oral Care, Home Teeth Whitening Set With Blue Light Accelerator LED, Personal Hygiene, And Whitening Teeth, Suitable For Household Use"
123,Unranked(New),General Application,2.28,38,300.0,1pc Usb Rechargeable Foldable Handheld Fan With 3 Modes
124,Unranked(New),General Application,1.2,0,80.0,"1pc Cartoon Desktop Chair Shaped Phone Holder, Foldable Stand"
125,Unranked(New),General Application,2.7,0,0,"Home-Use Manual Nano Hair Removal Tool, Painless Crystal Glass Hair Remover, Shaver For Leg And Arm Hair - A Magical Beauty Tool"
126,#6 Best Sellers,in Other Kitchen Appliances,5.7,0,0,"Rechargeable Flameless Plasma Windproof USB Lighter - Upgraded LED Battery Display, Safety Switch, Pocket Size for Candle, Cooking, BBQs and Fireworks"
127,Unranked(New),General Application,54.07,28,0,Electric Chocolate Melting Pot | 110v Electric Chocolate Melting Pot Single Pot | Long Handle Commercial Heating Candy Wax Kitchen Tool DIY Scented Candle Butter
128,Unranked(New),General Application,4.56,19,90.0,"1Pc Square-Shaped Acrylic Board Night Light, With Switch (Including Base, USB Cable, Stylus, And Acrylic Board), Message Board With Erasable Function And Handwriting Lighting Function"
129,Unranked(New),General Application,3.3,0,200.0,1pc+2-in-1 Steak & Egg Shovel+multi-functional Kitchen Shovel+fry Bread+pp Flipper +kitchen Essential
